subscriber_number,dr_id,transaction_timestamp,transaction_type,transaction_code,transaction_amount,origin_operator_id,service_class,account_flag_before,account_flag_after,account_group_id,dedicated_account_id,dedicated_account_amount,ada_account_expiry_date_after,product_id,package_id,origin_transaction_id_for_ovi_store,origin_operator_id_for_ovi_store,origin_host_name,lifecycle,promo_indicator,ci_channel_id,file_type,debit_amount,balance_after_deduction,success_code,bd_ingestion_timestamp,partition_transaction_date
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210725 00:23:05,DEB,CLR-DA-NOBAL-EXPIRE,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/26/2021 1:28,7/25/2021
1E/lRM+T4lTB/971N/fB4w==,2.11E+36,20210717 00:06:51,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-88A,419,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+34,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/18/2021 1:21,7/17/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210731 15:25:47,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,8/1/2021 0:06,7/31/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210702 19:41:56,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/3/2021 1:14,7/2/2021
Qnig2waEGtW6FmPUq8bE1w==,NULL,20210721 10:38:27,DEB,D-MIKEPB-MB,-0.6,OGW,719,0,0,0,NULL,NULL,NULL,NULL,NULL,1.10E+26,NULL,OLM,NULL,NULL,NULL,med_adjustments_ppas_air,NULL,NULL,NULL,7/22/2021 1:16,7/21/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210720 19:52:15,DEB,DED-SHARK-REP,-35,CAI5-SDP-105A,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.09E+26,NULL,NULL,NULL,560,365,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/21/2021 1:23,7/20/2021
L0KukaCxIf6WfOynXo4h7Q==,2.11E+36,20210725 00:34:38,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,32,0,NULL,NULL,NULL,331498,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/26/2021 1:28,7/25/2021
1E/lRM+T4lTB/971N/fB4w==,NULL,20210720 00:36:02,NULL,NULL,NULL,ZHR-SDP-88A,419,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,499192,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/21/2021 1:23,7/20/2021
mNhndwGP5ywX5Z78rRkmzg==,NULL,20210722 00:34:46,NULL,NULL,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/23/2021 1:17,7/22/2021
L0KukaCxIf6WfOynXo4h7Q==,2.69E+37,20210713 00:43:09,DEB,EXPRIED,NULL,SDP,454,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/14/2021 1:10,7/13/2021
C9qe2ud+VXX2sU+e6U55Ew==,2.11E+36,20210718 00:17:27,DEB,7ARAKAT-DAY-1-CLR,NULL,RMD-SDP-83A,1743,NULL,NULL,NULL,9,0,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/19/2021 1:38,7/18/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210722 20:56:47,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/23/2021 1:17,7/22/2021
Qnig2waEGtW6FmPUq8bE1w==,3.33E+37,20210721 16:15:48,DEB,EXPRIED,NULL,EXT,719,NULL,NULL,0,56,-75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/22/2021 1:16,7/21/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210707 18:15:31,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/8/2021 1:12,7/7/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210723 00:28:19,DEB,CLR-DA-NOBAL-EXPIRE,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/24/2021 1:20,7/23/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210729 11:09:05,DEB,ECOFEES,-0.01,Unknown,454,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/30/2021 12:19,7/29/2021
8ySmk8EywRlta7jz6YdwWQ==,NULL,20210704 23:20:49,DEB,ECOFEES,-0.01,Unknown,723,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/5/2021 1:22,7/4/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210727 00:35:16,DEB,CLR-DA-NOBAL-EXPIRE,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,419330,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/28/2021 19:28,7/27/2021
yLM/ku394jS3XsvJ3HsFvA==,NULL,20210707 22:31:11,DEB,ECOFEES,-0.01,Unknown,719,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_eon,NULL,NULL,NULL,7/8/2021 1:12,7/7/2021
L0KukaCxIf6WfOynXo4h7Q==,NULL,20210710 00:34:50,NULL,NULL,NULL,ZHR-SDP-79A,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,363719,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/11/2021 1:00,7/10/2021
mNhndwGP5ywX5Z78rRkmzg==,NULL,20210713 00:35:10,NULL,NULL,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,426380,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/14/2021 1:10,7/13/2021
mNhndwGP5ywX5Z78rRkmzg==,2.11E+36,20210720 00:31:57,DEB,SET-DA-0-NOBAL-FLAG,NULL,ZHR-SDP-80A,1453,NULL,NULL,NULL,32,0,NULL,NULL,NULL,2.02E+33,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/21/2021 1:23,7/20/2021
IaeDjuODU21rvFA355yU9A==,2.11E+36,20210718 00:43:16,DEB,SET-DA-0-NOBAL-FLAG,NULL,CAI5SDP59A,455,NULL,NULL,NULL,32,0,NULL,NULL,NULL,464129,NULL,NULL,NULL,NULL,NULL,ppas_dedicated_accounts,NULL,NULL,NULL,7/19/2021 1:38,7/18/2021
IaeDjuODU21rvFA355yU9A==,NULL,20210725 00:23:05,NULL,NULL,NULL,CAI5SDP59A,455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.02E+32,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/26/2021 1:28,7/25/2021
Qnig2waEGtW6FmPUq8bE1w==,NULL,20210727 16:05:54,DEB,D-R-MASS-GIFTFEES,0,EXT,719,0,0,0,NULL,NULL,NULL,NULL,NULL,1.10E+26,NULL,CI2,NULL,NULL,NULL,med_adjustments_ppas_air,NULL,NULL,NULL,7/28/2021 19:28,7/27/2021
/G+KCURIm0S20VgnABOL9Q==,NULL,20210712 14:03:29,DEB,FLEXEXTRA3LEADDON,NULL,CAI5-SDP-105A,454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.09E+26,NULL,NULL,NULL,NULL,NULL,med_adjustments_ppas_sdp_pam,NULL,NULL,NULL,7/13/2021 1:09,7/12/2021
